classical_3x3,quantum_3x3,classical_4x4,quantum_4x4
0.84,0.72,0.19999999999999984,-1.48
0.8,-1.08,0.1599999999999998,0.64
0.72,0.88,-0.0800000000000003,-1.08
0.88,0.88,-1.3599999999999999,0.4800000000000001
-1.04,0.76,-1.3599999999999999,0.8
0.84,0.8,-2.2800000000000002,0.64
0.88,-1.04,-1.6400000000000001,0.6000000000000001
-1.08,0.88,-0.8000000000000009,0.76
0.88,0.6799999999999999,-1.8800000000000003,0.72
0.88,-1.2,-1.7600000000000002,0.64
0.88,0.8,-1.16,0.8
0.84,-1.16,-1.08,0.8
0.72,-1.12,-1.4,-0.6400000000000008
0.6799999999999999,0.72,-1.12,-1.04
0.88,-1.2,-2.5200000000000005,0.19999999999999984
0.76,-1.24,-2.6000000000000005,0.44000000000000006
0.88,0.88,-0.28000000000000047,-0.04000000000000026
0.84,-1.12,0.2799999999999999,0.8
-1.2,-1.2,-1.6400000000000015,-0.7600000000000009
0.84,0.88,-7.559999999999993,-2.000000000000001
0.8,0.8,-2.7200000000000006,0.76
0.8,-1.04,-1.6800000000000015,0.6799999999999999
-1.12,-1.12,-1.6800000000000002,-2.3200000000000003
-1.04,-1.04,-3.7200000000000015,0.64
0.88,0.84,0.64,-1.08
0.88,0.72,-1.12,-1.04
0.8,0.8,0.72,0.31999999999999995
0.88,0.88,-0.16000000000000036,-1.04
0.6799999999999999,0.84,-1.52,0.1599999999999998
0.72,-1.04,0.64,-1.16
-1.04,-1.24,-1.28,-1.08
-1.04,0.88,0.6000000000000001,0.11999999999999977
0.88,0.88,0.72,0.72
-1.16,0.84,-1.28,-1.16
0.88,0.8,-1.16,0.8
0.76,-1.16,0.44000000000000006,0.76
0.8,0.88,-2.16,-0.36000000000000054
0.84,0.84,-0.2000000000000004,0.44000000000000006
0.76,-1.16,0.2799999999999999,0.1599999999999998
0.8,0.8,-1.7200000000000002,-2.000000000000001
0.88,0.76,0.44000000000000006,0.4
-1.04,0.88,0.6000000000000001,0.4800000000000001
0.88,0.8,0.44000000000000006,-2.000000000000001
0.88,0.8,0.76,0.6000000000000001
0.88,-1.04,-1.24,-2.000000000000001
0.8,-1.12,-1.08,-0.2000000000000004
-1.12,-1.04,0.64,0.76
0.72,-1.04,0.64,-1.08
-1.16,0.84,0.6000000000000001,-1.52
0.88,0.88,-1.04,-1.48
0.8,0.84,0.4800000000000001,0.19999999999999984
0.84,-1.16,0.76,-2.000000000000001
